skst	flokkun
blafs	B
blafu	B
blafj	B
geldn	B
holms	B
korpa	B
reitr	A
turnx	A
reits	A
reitx	A
rflug	A
skrau	B
strau	B
vidal	B
arnes	A
basar	C
eyrar	A
grvik	B
hella	B
hjard	A
kalfh	A
morla	C
samst	B
storh	A
vskho	A
vestb	B
tingv	B
opart	B
onund	A
blafe	B
botns	B
fiflh	C
hamel	C
hells	B
husaf	B
hveyr	A
kefla	A
litsk	C
skahe	B
skamy	C
stfey	A
sfell	B
tyril	B
olkel	B
arkdh	B
asgar	B
grufj	B
gufus	A
lamba	B
olvik	B
patro	B
patrb	B
rehol	B
stykk	A
talkn	B
bildu	B
bolun	A
boltr	B
bolsn	B
feyri	B
hnifs	B
isafj	A
selja	B
selsk	B
sudav	B
tverf	B
aedey	B
bjafh	B
gjogu	B
gjogr	A
holma	B
ehfdi	B
audal	B
bldos	A
brusa	B
haugr	B
nauta	B
rhrut	B
skrok	A
sifjo	B
sifhf	B
sines	C
akurk	A
akeyr	A
asbrg	B
fontr	B
grimy	A
grist	B
gaesa	B
husvk	B
manar	A
myvtn	B
modru	B
olfjo	B
olfti	B
raudh	B
raudi	B
raufa	A
reykf	B
rifms	B
sholl	B
svkot	B
torfr	B
vadla	A
vegei	B
teist	B
brujd	C
bfjeb	B
egils	A
hallm	A
midfj	B
modal	B
skjal	B
dalat	A
eskif	B
faskr	B
gagnh	B
halls	B
kamba	B
kolla	B
nkaup	B
nkaud	B
seydi	B
seyfj	B
seyka	B
teiga	A
vatta	C
tordh	B
thord	B
fagho	B
hofnh	A
klaus	A
ksker	B
skaft	B
hhals	B
hvell	A
asgfj	C
laufb	C
satax	C
tindf	C
uppty	C
